Filename,Barking,Howling,Crying,COSmoke,GlassBreaking,Other
public_00001,0.19372250139713287,0.03524038568139076,0.01774180866777897,0.005364148877561092,0.04567468538880348,0.7022565007209778
public_00002,0.0008158594137057662,0.0005212178220972419,0.0009839998092502356,0.00019352478557266295,0.00010342201858293265,0.9973819851875305
public_00003,0.8287251591682434,0.003830617293715477,0.026852469891309738,0.11231289058923721,0.009434597566723824,0.01884424313902855
public_00004,0.21532130241394043,0.00760970264673233,0.008921893313527107,0.02033316157758236,0.2662285566329956,0.48158541321754456
public_00005,0.06198577210307121,0.0721694678068161,0.8656288385391235,0.00014929416647646576,4.76086643175222e-06,6.178851617733017e-05
public_00006,0.07386673986911774,0.8145594596862793,0.11157244443893433,4.679751270941779e-07,2.5801023539884227e-09,9.358385000268754e-07
public_00007,0.04200861230492592,0.08138563483953476,0.8426993489265442,0.03345857560634613,9.452812082599849e-05,0.00035331762046553195
public_00008,1.2330859973486176e-18,6.50947599291788e-17,1.7878146879590773e-12,1.0,1.8881285966144967e-13,3.9357716237020494e-15
public_00009,1.6737127452870482e-06,0.0002616837155073881,0.9997366666793823,1.1491427365228901e-08,5.3309966711228077e-14,4.65935415250307e-11
public_00010,4.9352587666362524e-05,0.00019893884018529207,0.00019326958863530308,0.0001517830096418038,0.0001684935123194009,0.9992381930351257
public_00011,0.03602859750390053,0.021531816571950912,0.017201336100697517,0.010353043675422668,0.015046332962810993,0.8998388051986694
public_00012,0.5691670775413513,0.013596785254776478,0.008488978259265423,0.00034284955472685397,0.00045600038720294833,0.4079483151435852
public_00013,6.194144930304901e-07,0.16059423983097076,0.8394051790237427,3.9369740106875994e-11,4.761882645400932e-16,3.615899680370349e-12
public_00014,0.000601462903432548,0.00019279289699625224,9.097087604459375e-05,0.0001729119976516813,0.001372008235193789,0.9975698590278625
public_00015,0.09461239725351334,0.26974791288375854,0.04175131395459175,0.0017233332619071007,0.0017167103942483664,0.5904483199119568
public_00016,0.8688285946846008,0.006153855472803116,0.011081567034125328,0.00039264257065951824,0.0002787514531519264,0.11326458305120468
public_00017,0.04957208037376404,0.3938916027545929,0.02493221126496792,7.651231135241687e-05,3.529473133312422e-06,0.5315240621566772
public_00018,0.24135252833366394,0.0134813217446208,0.0072462731041014194,0.000982867437414825,0.006512060761451721,0.7304250001907349
public_00019,0.11023052036762238,0.03418172523379326,0.1380528211593628,0.03495519608259201,0.048834897577762604,0.6337448358535767
public_00020,0.00023717503063380718,0.00011911873298231512,0.005096293054521084,0.992355465888977,0.0013208623277023435,0.0008711389964446425
public_00021,2.6020099539891817e-05,0.023989522829651833,0.9759843945503235,5.6823217242651936e-09,6.245177985864103e-13,1.2640327673452134e-09
public_00022,0.0029772163834422827,0.17455433309078217,0.8222833871841431,5.226461871643551e-05,7.387048412965669e-07,0.00013208281598053873
public_00023,0.8832643628120422,0.004005851224064827,0.0011481333058327436,0.00018543608894106,0.013863016851246357,0.09753312915563583
public_00024,3.5028031106776325e-06,3.8628304999122065e-09,1.500679402965943e-08,6.181800563354045e-05,0.9999170303344727,1.7632826711633243e-05
public_00025,3.861545792460674e-06,1.1105812518508174e-05,4.785537839779863e-06,2.0832815152971307e-06,3.982800535595743e-06,0.9999741315841675
public_00026,0.05513572692871094,0.23263105750083923,0.05805937200784683,0.004556203726679087,0.0011382665252313018,0.6484793424606323
public_00027,2.0913996229277032e-11,7.168293736370401e-10,7.603312951687258e-06,0.9999923706054688,6.398554429354331e-12,5.835410822087328e-13
public_00028,0.17888243496418,0.04637887701392174,0.2349565029144287,0.06129526346921921,0.08167128264904022,0.39681562781333923
public_00029,0.011289410293102264,0.0024371235631406307,0.0022841107565909624,0.0002636583521962166,0.0002610916562844068,0.9834645390510559
public_00030,1.1366512115210115e-12,1.8124038728140057e-11,2.730971004893945e-07,0.9999998211860657,1.195800576614392e-11,2.401532306350873e-10
public_00031,0.1369200348854065,0.016353609040379524,0.013574117794632912,0.010701947845518589,0.11577452719211578,0.7066757082939148
public_00032,0.5234997868537903,0.17677566409111023,0.04780367389321327,0.0011498024687170982,0.000822268077172339,0.24994882941246033
public_00033,1.0927456060016993e-06,0.0070086149498820305,0.9929903149604797,4.800972952523352e-10,6.873098925663356e-15,4.250195681509972e-11
public_00034,6.607674731640145e-05,7.912040928204078e-06,0.0006998135941103101,0.9851888418197632,0.004932208452373743,0.009105165489017963
public_00035,0.001743072411045432,0.5912637710571289,0.40699315071105957,5.5845605917426155e-12,9.343601382920874e-16,6.079005571493767e-13
public_00036,0.11306677013635635,0.0101847555488348,0.01774800755083561,0.018472807481884956,0.1886095106601715,0.6519181132316589
public_00037,1.5808316220500274e-06,1.2726103477689321e-06,8.079661597548693e-07,1.1326110325171612e-06,2.850657892849995e-06,0.9999923706054688
